"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Создать пользователя, открыть страницу логина, залогиниться созданным пользователем, создать заказ,
        перейти на страницу ленты заказов, получить номер заказа из списка В РАБОТЕ,
        сравнить номер созданного заказа и полученного из списка заказов В РАБОТЕ
    ","9234","Наличие заказа в списке В РАБОТЕ","tests","Tue Aug 05 15:58:30 MSK 2025","passed","Tue Aug 05 15:58:40 MSK 2025","TestOrderFeedPage","test_order_feed_page","",""
"Окрыть главную страницу, перейти по кнопке на страницу ленты заказов, проверить загрузку страницы ленты заказов","1805","Переход на страницу ленты заказов с главной страницы по кнопке","tests","Tue Aug 05 15:56:50 MSK 2025","passed","Tue Aug 05 15:56:52 MSK 2025","TestOrderFeedPage","test_order_feed_page","",""
"Открыть главную страницу, кликнуть на случайный ингредиент в списке, проверить отображение всплывающего окна с деталями ингредиента","1497","Проверка появления окна с деталями ингредиента","tests","Tue Aug 05 15:55:06 MSK 2025","passed","Tue Aug 05 15:55:08 MSK 2025","TestMainPage","test_main_page","",""
"Окрыть страницу ленты заказов, кликнуть на случайный заказ, проверить появление всплывающего окна с деталями заказа","1715","Появление окна с деталями заказа","tests","Tue Aug 05 15:57:05 MSK 2025","passed","Tue Aug 05 15:57:06 MSK 2025","TestOrderFeedPage","test_order_feed_page","",""
"Открыть главную страницу, добавить ингредиент к бургеру, проверить результат добавления","1511","Проверка добавления ингредиента типа bun в бургер (увеличение количества)","tests","Tue Aug 05 15:55:27 MSK 2025","passed","Tue Aug 05 15:55:29 MSK 2025","TestMainPage","test_main_page","",""
"Открыть страницу логина, проверить загрузку страницы логина","830","Проверка открытия страницы логина","tests","Tue Aug 05 15:54:36 MSK 2025","passed","Tue Aug 05 15:54:37 MSK 2025","TestLoginPage","test_login_page","",""
"Создать пользователя, перейти на страницу логина, авторизоваться под созданным пользователем, создать заказ, перейти на страницу профиля, перейти в историю заказов, проверить загрузку истории заказов","7137","Проверка перехода в историю заказов","tests","Tue Aug 05 15:59:11 MSK 2025","passed","Tue Aug 05 15:59:18 MSK 2025","TestProfilePage","test_profile_page","",""
"Открыть страницу восстановления пароля, ввести email, перейти на страницу сброса пароля, проверить активность окна ввода пароля при клике на кнопку отображения пароля","2007","Проверка активации окна ввода при нажатии кнопки отображения пароля","tests","Tue Aug 05 16:00:00 MSK 2025","passed","Tue Aug 05 16:00:02 MSK 2025","TestResetPasswordPage","test_reset_password_page","",""
"
        Создать пользователя, открыть страницу логина, залогиниться созданным пользователем, перейти на страницу ленты заказов,
        получить текущее общее количество заказов (глобальный счетчик ДО), перейти на главную страницу, создать заказ,
        перейти на страницу ленты заказов, получить текущее общее количество заказов (глобальный счетчик ПОСЛЕ),
        проверить увеличение глобального счетчика заказов
    ","9123","Увеличение глобального счетчика заказов","tests","Tue Aug 05 15:57:37 MSK 2025","passed","Tue Aug 05 15:57:47 MSK 2025","TestOrderFeedPage","test_order_feed_page","",""
"Окрыть главную страницу, перейти по кнопке на страницу ленты заказов, проверить загрузку страницы ленты заказов","1331","Переход на страницу ленты заказов с главной страницы по кнопке","tests","Tue Aug 05 15:56:54 MSK 2025","passed","Tue Aug 05 15:56:56 MSK 2025","TestOrderFeedPage","test_order_feed_page","",""
